2026-07-03 07:07:13 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/crossover-cami-bodysuit.json | availability=in_stock]
2026-07-03 07:07:13 DEBUG    app.processing.classifier — Classification terminée [name=CrossOver Cami Bodysuit | family=Bodysuit | subfamily=None | compression=Moyenne | zones=['Taille']]
2026-07-03 07:07:13 DEBUG    app.workflow.runner — Enrichissement [product=CrossOver Cami Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:14 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/softform-bra.json | status=200 | duration_ms=236 | attempt=1]
2026-07-03 07:07:14 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/softform-bra.json | availability=in_stock]
2026-07-03 07:07:14 DEBUG    app.processing.classifier — Classification terminée [name=SoftForm Bra | family=Bra | subfamily=Underwire Bra | compression=Extra-forte | zones=['Dos']]
2026-07-03 07:07:14 DEBUG    app.workflow.runner — Enrichissement [product=SoftForm Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:15 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-thong-bodysuit.json | status=200 | duration_ms=181 | attempt=1]
2026-07-03 07:07:15 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cloudembrace-bra-with-cloudwire.json | status=200 | duration_ms=192 | attempt=1]
2026-07-03 07:07:16 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cami-thong-bodysuit.json | availability=in_stock]
2026-07-03 07:07:16 DEBUG    app.processing.classifier — Classification terminée [name=Cami Thong Bodysuit | family=Bodysuit | subfamily=None | compression=Forte | zones=['Dos', 'Fesses']]
2026-07-03 07:07:16 DEBUG    app.workflow.runner — Enrichissement [product=Cami Thong Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:16 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cloudembrace-bra-with-cloudwire.json | availability=out_of_stock]
2026-07-03 07:07:16 DEBUG    app.processing.classifier — Classification terminée [name=CloudEmbrace Bra with CloudWire | family=Bra | subfamily=Underwire Bra | compression=Moyenne | zones=['Dos']]
2026-07-03 07:07:16 DEBUG    app.workflow.runner — Enrichissement [product=CloudEmbrace Bra with CloudWire | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:16 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cloudshape-bra-with-cloudwire.json | status=200 | duration_ms=263 | attempt=1]
2026-07-03 07:07:17 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cloudshape-bra-with-cloudwire.json | availability=out_of_stock]
2026-07-03 07:07:17 DEBUG    app.processing.classifier — Classification terminée [name=CloudShape Bra with CloudWire | family=Bra | subfamily=Underwire Bra | compression=Moyenne | zones=['Ventre', 'Dos']]
2026-07-03 07:07:17 DEBUG    app.workflow.runner — Enrichissement [product=CloudShape Bra with CloudWire | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:17 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cloudlift-bra-with-cloudwire.json | status=200 | duration_ms=191 | attempt=1]
2026-07-03 07:07:17 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cloudlift-bra-with-cloudwire.json | availability=out_of_stock]
2026-07-03 07:07:17 DEBUG    app.processing.classifier — Classification terminée [name=CloudLift Bra with CloudWire | family=Bra | subfamily=None | compression=Forte | zones=[]]
2026-07-03 07:07:17 DEBUG    app.workflow.runner — Enrichissement [product=CloudLift Bra with CloudWire | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:18 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-thong-bodysuit-us.json | status=200 | duration_ms=212 | attempt=1]
2026-07-03 07:07:18 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cami-thong-bodysuit-us.json | availability=in_stock]
2026-07-03 07:07:18 DEBUG    app.processing.classifier — Classification terminée [name=Cami Thong Bodysuit | family=Bodysuit | subfamily=None | compression=Forte | zones=['Dos', 'Fesses']]
2026-07-03 07:07:19 DEBUG    app.workflow.runner — Enrichissement [product=Cami Thong Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:20 INFO     app.workflow.scheduler — Planificateur arrêté
2026-07-03 07:07:20 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/xbalance-bra.json | status=200 | duration_ms=160 | attempt=1]
2026-07-03 07:07:20 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/xbalance-bra.json | availability=out_of_stock]
2026-07-03 07:07:20 DEBUG    app.processing.classifier — Classification terminée [name=X Balance Bra | family=Bra | subfamily=Wireless Bra | compression=Moyenne | zones=[]]
2026-07-03 07:07:20 DEBUG    app.workflow.runner — Enrichissement [product=X Balance Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:20 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-bodysuit-us.json | status=200 | duration_ms=223 | attempt=1]
2026-07-03 07:07:21 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cami-bodysuit-us.json | availability=in_stock]
2026-07-03 07:07:21 DEBUG    app.processing.classifier — Classification terminée [name=Cami Bodysuit | family=Bodysuit | subfamily=None | compression=Moyenne | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:21 DEBUG    app.workflow.runner — Enrichissement [product=Cami Bodysuit | promo_freq=0.0 | price_stability=0.0]
